Sample.name	Condition	Bio.Rep
X1hSORB24hREL_FR1_Rep1	1hSORB24hREL_FR1	25
X1hSORB24hREL_FR1_Rep2	1hSORB24hREL_FR1	26
X1hSORB24hREL_FR1_Rep3	1hSORB24hREL_FR1	27
X1hSORB24hREL_FR1_Rep4	1hSORB24hREL_FR1	28
X1hSORB24hREL_FR2_Rep1	1hSORB24hREL_FR2	29
X1hSORB24hREL_FR2_Rep2	1hSORB24hREL_FR2	30
X1hSORB24hREL_FR2_Rep3	1hSORB24hREL_FR2	31
X1hSORB24hREL_FR2_Rep4	1hSORB24hREL_FR2	32
X1hSORB24hREL_FR3_Rep1	1hSORB24hREL_FR3	33
X1hSORB24hREL_FR3_Rep2	1hSORB24hREL_FR3	34
X1hSORB24hREL_FR3_Rep3	1hSORB24hREL_FR3	35
X1hSORB24hREL_FR3_Rep4	1hSORB24hREL_FR3	36
X1hSORB24hREL_FR4_Rep1	1hSORB24hREL_FR4	37
X1hSORB24hREL_FR4_Rep2	1hSORB24hREL_FR4	38
X1hSORB24hREL_FR4_Rep3	1hSORB24hREL_FR4	39
X1hSORB24hREL_FR4_Rep4	1hSORB24hREL_FR4	40
X1hSORB24hREL_FR5_Rep1	1hSORB24hREL_FR5	41
X1hSORB24hREL_FR5_Rep2	1hSORB24hREL_FR5	42
X1hSORB24hREL_FR5_Rep3	1hSORB24hREL_FR5	43
X1hSORB24hREL_FR5_Rep4	1hSORB24hREL_FR5	44
X1hSORB24hREL_FR6_Rep1	1hSORB24hREL_FR6	45
X1hSORB24hREL_FR6_Rep2	1hSORB24hREL_FR6	46
X1hSORB24hREL_FR6_Rep3	1hSORB24hREL_FR6	47
X1hSORB24hREL_FR6_Rep4	1hSORB24hREL_FR6	48
X1hSORB30minREL_FR1_Rep1	1hSORB30minREL_FR1	49
X1hSORB30minREL_FR1_Rep2	1hSORB30minREL_FR1	50
X1hSORB30minREL_FR1_Rep3	1hSORB30minREL_FR1	51
X1hSORB30minREL_FR1_Rep4	1hSORB30minREL_FR1	52
X1hSORB30minREL_FR2_Rep1	1hSORB30minREL_FR2	53
X1hSORB30minREL_FR2_Rep2	1hSORB30minREL_FR2	54
X1hSORB30minREL_FR2_Rep3	1hSORB30minREL_FR2	55
X1hSORB30minREL_FR2_Rep4	1hSORB30minREL_FR2	56
X1hSORB30minREL_FR3_Rep1	1hSORB30minREL_FR3	57
X1hSORB30minREL_FR3_Rep2	1hSORB30minREL_FR3	58
X1hSORB30minREL_FR3_Rep3	1hSORB30minREL_FR3	59
X1hSORB30minREL_FR3_Rep4	1hSORB30minREL_FR3	60
X1hSORB30minREL_FR4_Rep1	1hSORB30minREL_FR4	61
X1hSORB30minREL_FR4_Rep2	1hSORB30minREL_FR4	62
X1hSORB30minREL_FR4_Rep3	1hSORB30minREL_FR4	63
X1hSORB30minREL_FR4_Rep4	1hSORB30minREL_FR4	64
X1hSORB30minREL_FR5_Rep1	1hSORB30minREL_FR5	65
X1hSORB30minREL_FR5_Rep2	1hSORB30minREL_FR5	66
X1hSORB30minREL_FR5_Rep3	1hSORB30minREL_FR5	67
X1hSORB30minREL_FR5_Rep4	1hSORB30minREL_FR5	68
X1hSORB30minREL_FR6_Rep1	1hSORB30minREL_FR6	69
X1hSORB30minREL_FR6_Rep2	1hSORB30minREL_FR6	70
X1hSORB30minREL_FR6_Rep3	1hSORB30minREL_FR6	71
X1hSORB30minREL_FR6_Rep4	1hSORB30minREL_FR6	72
X1hSORB3hREL_FR1_Rep1	1hSORB3hREL_FR1	1
X1hSORB3hREL_FR1_Rep2	1hSORB3hREL_FR1	2
X1hSORB3hREL_FR1_Rep3	1hSORB3hREL_FR1	3
X1hSORB3hREL_FR1_Rep4	1hSORB3hREL_FR1	4
X1hSORB3hREL_FR2_Rep1	1hSORB3hREL_FR2	5
X1hSORB3hREL_FR2_Rep2	1hSORB3hREL_FR2	6
X1hSORB3hREL_FR2_Rep3	1hSORB3hREL_FR2	7
X1hSORB3hREL_FR2_Rep4	1hSORB3hREL_FR2	8
X1hSORB3hREL_FR3_Rep1	1hSORB3hREL_FR3	9
X1hSORB3hREL_FR3_Rep2	1hSORB3hREL_FR3	10
X1hSORB3hREL_FR3_Rep3	1hSORB3hREL_FR3	11
X1hSORB3hREL_FR3_Rep4	1hSORB3hREL_FR3	12
X1hSORB3hREL_FR4_Rep1	1hSORB3hREL_FR4	13
X1hSORB3hREL_FR4_Rep2	1hSORB3hREL_FR4	14
X1hSORB3hREL_FR4_Rep3	1hSORB3hREL_FR4	15
X1hSORB3hREL_FR4_Rep4	1hSORB3hREL_FR4	16
X1hSORB3hREL_FR5_Rep1	1hSORB3hREL_FR5	17
X1hSORB3hREL_FR5_Rep2	1hSORB3hREL_FR5	18
X1hSORB3hREL_FR5_Rep3	1hSORB3hREL_FR5	19
X1hSORB3hREL_FR5_Rep4	1hSORB3hREL_FR5	20
X1hSORB3hREL_FR6_Rep1	1hSORB3hREL_FR6	21
X1hSORB3hREL_FR6_Rep2	1hSORB3hREL_FR6	22
X1hSORB3hREL_FR6_Rep3	1hSORB3hREL_FR6	23
X1hSORB3hREL_FR6_Rep4	1hSORB3hREL_FR6	24
X1hSORBITOL_FR1_Rep1	1hSORBITOL_FR1	73
X1hSORBITOL_FR1_Rep2	1hSORBITOL_FR1	74
X1hSORBITOL_FR1_Rep3	1hSORBITOL_FR1	75
X1hSORBITOL_FR1_Rep4	1hSORBITOL_FR1	76
X1hSORBITOL_FR2_Rep1	1hSORBITOL_FR2	77
X1hSORBITOL_FR2_Rep2	1hSORBITOL_FR2	78
X1hSORBITOL_FR2_Rep3	1hSORBITOL_FR2	79
X1hSORBITOL_FR2_Rep4	1hSORBITOL_FR2	80
X1hSORBITOL_FR3_Rep1	1hSORBITOL_FR3	81
X1hSORBITOL_FR3_Rep2	1hSORBITOL_FR3	82
X1hSORBITOL_FR3_Rep3	1hSORBITOL_FR3	83
X1hSORBITOL_FR3_Rep4	1hSORBITOL_FR3	84
X1hSORBITOL_FR4_Rep1	1hSORBITOL_FR4	85
X1hSORBITOL_FR4_Rep2	1hSORBITOL_FR4	86
X1hSORBITOL_FR4_Rep3	1hSORBITOL_FR4	87
X1hSORBITOL_FR4_Rep4	1hSORBITOL_FR4	88
X1hSORBITOL_FR5_Rep1	1hSORBITOL_FR5	89
X1hSORBITOL_FR5_Rep2	1hSORBITOL_FR5	90
X1hSORBITOL_FR5_Rep3	1hSORBITOL_FR5	91
X1hSORBITOL_FR5_Rep4	1hSORBITOL_FR5	92
X1hSORBITOL_FR6_Rep1	1hSORBITOL_FR6	93
X1hSORBITOL_FR6_Rep2	1hSORBITOL_FR6	94
X1hSORBITOL_FR6_Rep3	1hSORBITOL_FR6	95
X1hSORBITOL_FR6_Rep4	1hSORBITOL_FR6	96
XCTRL_FR1_Rep1	CTRL_FR1	97
XCTRL_FR1_Rep2	CTRL_FR1	98
XCTRL_FR1_Rep3	CTRL_FR1	99
XCTRL_FR1_Rep4	CTRL_FR1	100
XCTRL_FR2_Rep1	CTRL_FR2	101
XCTRL_FR2_Rep2	CTRL_FR2	102
XCTRL_FR2_Rep3	CTRL_FR2	103
XCTRL_FR2_Rep4	CTRL_FR2	104
XCTRL_FR3_Rep1	CTRL_FR3	105
XCTRL_FR3_Rep2	CTRL_FR3	106
XCTRL_FR3_Rep3	CTRL_FR3	107
XCTRL_FR3_Rep4	CTRL_FR3	108
XCTRL_FR4_Rep1	CTRL_FR4	109
XCTRL_FR4_Rep2	CTRL_FR4	110
XCTRL_FR4_Rep3	CTRL_FR4	111
XCTRL_FR4_Rep4	CTRL_FR4	112
XCTRL_FR5_Rep1	CTRL_FR5	113
XCTRL_FR5_Rep2	CTRL_FR5	114
XCTRL_FR5_Rep3	CTRL_FR5	115
XCTRL_FR5_Rep4	CTRL_FR5	116
XCTRL_FR6_Rep1	CTRL_FR6	117
XCTRL_FR6_Rep2	CTRL_FR6	118
XCTRL_FR6_Rep3	CTRL_FR6	119
XCTRL_FR6_Rep4	CTRL_FR6	120
