Sample.name	Condition	Bio.Rep
OSMSTR1hSORB3hREL_FR1_Rep1	1hSORB3hREL_FR1	1
OSMSTR1hSORB3hREL_FR1_Rep2	1hSORB3hREL_FR1	2
OSMSTR1hSORB3hREL_FR1_Rep3	1hSORB3hREL_FR1	3
OSMSTR1hSORB3hREL_FR1_Rep4	1hSORB3hREL_FR1	4
OSMSTR1hSORB3hREL_FR2_Rep1	1hSORB3hREL_FR2	5
OSMSTR1hSORB3hREL_FR2_Rep2	1hSORB3hREL_FR2	6
OSMSTR1hSORB3hREL_FR2_Rep3	1hSORB3hREL_FR2	7
OSMSTR1hSORB3hREL_FR2_Rep4	1hSORB3hREL_FR2	8
OSMSTR1hSORB3hREL_FR3_Rep1	1hSORB3hREL_FR3	9
OSMSTR1hSORB3hREL_FR3_Rep2	1hSORB3hREL_FR3	10
OSMSTR1hSORB3hREL_FR3_Rep3	1hSORB3hREL_FR3	11
OSMSTR1hSORB3hREL_FR3_Rep4	1hSORB3hREL_FR3	12
OSMSTR1hSORB3hREL_FR4_Rep1	1hSORB3hREL_FR4	13
OSMSTR1hSORB3hREL_FR4_Rep2	1hSORB3hREL_FR4	14
OSMSTR1hSORB3hREL_FR4_Rep3	1hSORB3hREL_FR4	15
OSMSTR1hSORB3hREL_FR4_Rep4	1hSORB3hREL_FR4	16
OSMSTR1hSORB3hREL_FR5_Rep1	1hSORB3hREL_FR5	17
OSMSTR1hSORB3hREL_FR5_Rep2	1hSORB3hREL_FR5	18
OSMSTR1hSORB3hREL_FR5_Rep3	1hSORB3hREL_FR5	19
OSMSTR1hSORB3hREL_FR5_Rep4	1hSORB3hREL_FR5	20
OSMSTR1hSORB3hREL_FR6_Rep1	1hSORB3hREL_FR6	21
OSMSTR1hSORB3hREL_FR6_Rep2	1hSORB3hREL_FR6	22
OSMSTR1hSORB3hREL_FR6_Rep3	1hSORB3hREL_FR6	23
OSMSTR1hSORB3hREL_FR6_Rep4	1hSORB3hREL_FR6	24
OSMSTR1hSORB24hREL_FR1_Rep1	1hSORB24hREL_FR1	25
OSMSTR1hSORB24hREL_FR1_Rep2	1hSORB24hREL_FR1	26
OSMSTR1hSORB24hREL_FR1_Rep3	1hSORB24hREL_FR1	27
OSMSTR1hSORB24hREL_FR1_Rep4	1hSORB24hREL_FR1	28
OSMSTR1hSORB24hREL_FR2_Rep1	1hSORB24hREL_FR2	29
OSMSTR1hSORB24hREL_FR2_Rep2	1hSORB24hREL_FR2	30
OSMSTR1hSORB24hREL_FR2_Rep3	1hSORB24hREL_FR2	31
OSMSTR1hSORB24hREL_FR2_Rep4	1hSORB24hREL_FR2	32
OSMSTR1hSORB24hREL_FR3_Rep1	1hSORB24hREL_FR3	33
OSMSTR1hSORB24hREL_FR3_Rep2	1hSORB24hREL_FR3	34
OSMSTR1hSORB24hREL_FR3_Rep3	1hSORB24hREL_FR3	35
OSMSTR1hSORB24hREL_FR3_Rep4	1hSORB24hREL_FR3	36
OSMSTR1hSORB24hREL_FR4_Rep1	1hSORB24hREL_FR4	37
OSMSTR1hSORB24hREL_FR4_Rep2b_20200210150709	1hSORB24hREL_FR4	38
OSMSTR1hSORB24hREL_FR4_Rep3	1hSORB24hREL_FR4	39
OSMSTR1hSORB24hREL_FR4_Rep4	1hSORB24hREL_FR4	40
OSMSTR1hSORB24hREL_FR5_Rep1	1hSORB24hREL_FR5	41
OSMSTR1hSORB24hREL_FR5_Rep2	1hSORB24hREL_FR5	42
OSMSTR1hSORB24hREL_FR5_Rep3	1hSORB24hREL_FR5	43
OSMSTR1hSORB24hREL_FR5_Rep4	1hSORB24hREL_FR5	44
OSMSTR1hSORB24hREL_FR6_Rep1	1hSORB24hREL_FR6	45
OSMSTR1hSORB24hREL_FR6_Rep2	1hSORB24hREL_FR6	46
OSMSTR1hSORB24hREL_FR6_Rep3	1hSORB24hREL_FR6	47
OSMSTR1hSORB24hREL_FR6_Rep4	1hSORB24hREL_FR6	48
OSMSTR1hSORB30minREL_FR1_Rep1	1hSORB30minREL_FR1	49
OSMSTR1hSORB30minREL_FR1_Rep2	1hSORB30minREL_FR1	50
OSMSTR1hSORB30minREL_FR1_Rep3	1hSORB30minREL_FR1	51
